"X","Idade","Sexo","Profissao","Moradia","Conta_Poupanca","Conta_Corrente","Valor_do_Credito","Duracao","Motivo","Risco"
128,34,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",1860,12,"Carro","Crédito Bom"
129,29,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",3499,12,"Carro","Crédito Ruim"
130,24,"Feminino","Qualificado","Própria","Sem Conta Poupança","Conta Corrente Moderada",8487,48,"Carro","Crédito Bom"
131,29,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",6887,36,"Educação","Crédito Ruim"
132,27,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Sem Conta Corrente",2708,15,"Móveis/Equipamentos","Crédito Bom"
133,47,"Masculino","Qualificado","Cedida","Conta de Poupança Pequena","Sem Conta Corrente",1984,18,"Móveis/Equipamentos","Crédito Bom"
134,21,"Feminino","Qualificado","Própria","Conta de Poupança Moderada","Sem Conta Corrente",10144,60,"radio/TV","Crédito Bom"
135,38,"Feminino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",1240,12,"radio/TV","Crédito Bom"
136,27,"Masculino","Qualificado","Própria","Conta de Poupança Rica","Sem Conta Corrente",8613,27,"Carro","Crédito Bom"
137,66,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Substancial","Conta Corrente Moderada",766,12,"radio/TV","Crédito Ruim"
138,35,"Masculino","Qualificado","Própria","Sem Conta Poupança","Conta Corrente Moderada",2728,15,"radio/TV","Crédito Bom"
139,44,"Feminino","Não qualificado e residente","Alugada","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",1881,12,"radio/TV","Crédito Bom"
140,27,"Masculino","Não qualificado e não residente","Própria","Conta de Poupança Rica","Conta Corrente de Alto Padrão",709,6,"Carro","Crédito Bom"
141,30,"Feminino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",4795,36,"radio/TV","Crédito Bom"
142,27,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",3416,27,"radio/TV","Crédito Bom"
143,22,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",2462,18,"Móveis/Equipamentos","Crédito Ruim"
144,23,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",2288,21,"Móveis/Equipamentos","Crédito Bom"
145,30,"Masculino","Qualificado","Própria","Conta de Poupança Moderada","Conta Corrente Moderada",3566,48,"Negócios/Empreender","Crédito Bom"
146,39,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",860,6,"Carro","Crédito Bom"
147,51,"Feminino","Qualificado","Própria","Conta de Poupança Moderada","Sem Conta Corrente",682,12,"Carro","Crédito Bom"
148,28,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",5371,36,"Móveis/Equipamentos","Crédito Bom"
149,46,"Masculino","Qualificado","Própria","Conta de Poupança Rica","Sem Conta Corrente",1582,18,"radio/TV","Crédito Bom"
150,42,"Masculino","Qualificado","Cedida","Conta de Poupança Moderada","Sem Conta Corrente",1346,6,"radio/TV","Crédito Bom"
151,38,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1924,10,"radio/TV","Crédito Bom"
152,24,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",5848,36,"radio/TV","Crédito Bom"
153,29,"Feminino","Qualificado","Alugada","Conta de Poupança Rica","Conta Corrente Moderada",7758,24,"Carro","Crédito Bom"
154,36,"Masculino","Altamente qualificado","Alugada","Conta de Poupança Moderada","Conta Corrente Moderada",6967,24,"Negócios/Empreender","Crédito Bom"
155,20,"Feminino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Básica",1282,12,"Móveis/Equipamentos","Crédito Ruim"
156,48,"Masculino","Qualificado","Própria","Conta de Poupança Moderada","Conta Corrente Básica",1288,9,"Reparos","Crédito Bom"
157,45,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Básica",339,12,"Educação","Crédito Bom"
158,38,"Masculino","Qualificado","Própria","Conta de Poupança Moderada","Conta Corrente Moderada",3512,24,"Carro","Crédito Bom"
159,34,"Masculino","Não qualificado e residente","Própria","Sem Conta Poupança","Sem Conta Corrente",1898,6,"radio/TV","Crédito Bom"
160,36,"Masculino","Qualificado","Própria","Conta de Poupança Moderada","Sem Conta Corrente",2872,24,"radio/TV","Crédito Bom"
161,30,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1055,18,"Carro","Crédito Bom"
162,36,"Masculino","Qualificado","Própria","Conta de Poupança Substancial","Sem Conta Corrente",1262,15,"domestic appliances","Crédito Bom"
163,70,"Masculino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Moderada",7308,10,"Carro","Crédito Bom"
164,36,"Masculino","Qualificado","Própria","Conta de Poupança Substancial","Sem Conta Corrente",909,36,"Carro","Crédito Bom"
165,32,"Masculino","Qualificado","Própria","Conta de Poupança Substancial","Sem Conta Corrente",2978,6,"Móveis/Equipamentos","Crédito Bom"
166,33,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1131,18,"Móveis/Equipamentos","Crédito Ruim"
167,20,"Feminino","Qualificado","Própria","Conta de Poupança Rica","Conta Corrente Moderada",1577,11,"Móveis/Equipamentos","Crédito Bom"
168,25,"Feminino","Qualificado","Alugada","Conta de Poupança Pequena","Sem Conta Corrente",3972,24,"Móveis/Equipamentos","Crédito Bom"
169,31,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",1935,24,"Negócios/Empreender","Crédito Ruim"
170,33,"Masculino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Básica",950,15,"Carro","Crédito Ruim"
171,26,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",763,12,"Móveis/Equipamentos","Crédito Bom"
172,34,"Feminino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",2064,24,"Móveis/Equipamentos","Crédito Ruim"
173,33,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",1414,8,"radio/TV","Crédito Bom"
174,26,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",3414,21,"Educação","Crédito Ruim"
175,53,"Feminino","Altamente qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",7485,30,"Carro","Crédito Ruim"
176,42,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",2577,12,"Móveis/Equipamentos","Crédito Bom"
177,52,"Masculino","Qualificado","Própria","Conta de Poupança Substancial","Conta Corrente Básica",338,6,"radio/TV","Crédito Bom"
178,31,"Masculino","Altamente qualificado","Alugada","Conta de Poupança Pequena","Sem Conta Corrente",1963,12,"radio/TV","Crédito Bom"
179,65,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",571,21,"Carro","Crédito Bom"
180,28,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",9572,36,"Negócios/Empreender","Crédito Ruim"
181,30,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",4455,36,"Negócios/Empreender","Crédito Ruim"
182,40,"Masculino","Não qualificado e residente","Própria","Sem Conta Poupança","Conta Corrente Básica",1647,21,"Carro","Crédito Ruim"
183,50,"Masculino","Qualificado","Própria","Conta de Poupança Rica","Sem Conta Corrente",3777,24,"Móveis/Equipamentos","Crédito Bom"
184,36,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",884,18,"Carro","Crédito Ruim"
185,31,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1360,15,"radio/TV","Crédito Bom"
186,74,"Feminino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Moderada",5129,9,"Carro","Crédito Ruim"
187,68,"Masculino","Não qualificado e não residente","Cedida","Conta de Poupança Pequena","Conta Corrente Moderada",1175,16,"Carro","Crédito Bom"
188,20,"Masculino","Qualificado","Própria","Conta de Poupança Moderada","Conta Corrente Básica",674,12,"radio/TV","Crédito Ruim"
189,33,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",3244,18,"Móveis/Equipamentos","Crédito Bom"
190,54,"Masculino","Altamente qualificado","Própria","Conta de Poupança Rica","Sem Conta Corrente",4591,24,"Negócios/Empreender","Crédito Ruim"
191,34,"Masculino","Não qualificado e residente","Cedida","Conta de Poupança Moderada","Conta Corrente Moderada",3844,48,"Negócios/Empreender","Crédito Ruim"
192,36,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",3915,27,"Negócios/Empreender","Crédito Ruim"
193,29,"Masculino","Qualificado","Alugada","Conta de Poupança Pequena","Sem Conta Corrente",2108,6,"radio/TV","Crédito Bom"
194,21,"Masculino","Qualificado","Alugada","Conta de Poupança Moderada","Conta Corrente Moderada",3031,45,"radio/TV","Crédito Ruim"
195,34,"Feminino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",1501,9,"Educação","Crédito Ruim"
196,28,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1382,6,"radio/TV","Crédito Bom"
197,27,"Feminino","Qualificado","Alugada","Conta de Poupança Moderada","Conta Corrente Moderada",951,12,"Móveis/Equipamentos","Crédito Ruim"
198,36,"Masculino","Qualificado","Cedida","Sem Conta Poupança","Conta Corrente Moderada",2760,24,"Carro","Crédito Bom"
199,40,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",4297,18,"Móveis/Equipamentos","Crédito Ruim"
200,52,"Masculino","Qualificado","Própria","Conta de Poupança Substancial","Sem Conta Corrente",936,9,"Educação","Crédito Bom"
201,27,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1168,12,"Carro","Crédito Bom"
202,26,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",5117,27,"Negócios/Empreender","Crédito Bom"
203,21,"Masculino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Básica",902,12,"Educação","Crédito Ruim"
