"Age","Sex","Job","Housing","Saving accounts","Checking account","Credit amount","Duration","Purpose","Risk"
35,"Masculino",2,"Própria","Altos recursos","Médios recursos",1410,14,"Negócios/Empreender","Crédito Saudável"
31,"Masculino",2,"Própria","Médios recursos","Médios recursos",1449,6,"Negócios/Empreender","Crédito Saudável"
23,"Feminino",2,"Alugada","Poucos recursos","Altíssimos recursos",392,15,"Educação","Crédito Saudável"
28,"Masculino",1,"Alugada","Poucos recursos","Médios recursos",6260,18,"Carro","Crédito Ruim"
25,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",7855,36,"Carro","Crédito Saudável"
35,"Masculino",2,"Própria","Altos recursos","Poucos recursos",1680,12,"radio/TV","Crédito Saudável"
47,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",3578,48,"radio/TV","Crédito Saudável"
30,"Feminino",3,"Própria","Sem recursos declarados","Poucos recursos",7174,42,"radio/TV","Crédito Saudável"
27,"Feminino",2,"Alugada","Sem recursos declarados","Poucos recursos",2132,10,"Eletroeletrônicos","Crédito Saudável"
23,"Feminino",2,"Própria","Altos recursos","Poucos recursos",4281,33,"Eletroeletrônicos","Crédito Saudável"
36,"Masculino",3,"Própria","Altos recursos","Médios recursos",2366,12,"Carro","Crédito Saudável"
25,"Feminino",2,"Própria","Poucos recursos","Poucos recursos",1835,21,"radio/TV","Crédito Saudável"
41,"Feminino",3,"Alugada","Poucos recursos","Sem recursos declarados",3868,24,"Carro","Crédito Saudável"
24,"Masculino",1,"Alugada","Poucos recursos","Sem recursos declarados",1768,12,"Eletroeletrônicos","Crédito Saudável"
63,"Masculino",2,"Cedida","Poucos recursos","Altíssimos recursos",781,10,"Carro","Crédito Saudável"
27,"Feminino",2,"Alugada","Sem recursos declarados","Médios recursos",1924,18,"Eletroeletrônicos","Crédito Saudável"
30,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",2121,12,"Carro","Crédito Saudável"
40,"Masculino",1,"Própria","Poucos recursos","Poucos recursos",701,12,"radio/TV","Crédito Ruim"
30,"Masculino",2,"Própria","Poucos recursos","Médios recursos",639,12,"Reparos/Reformas","Crédito Saudável"
34,"Masculino",3,"Própria","Poucos recursos","Médios recursos",1860,12,"Carro","Crédito Saudável"
29,"Feminino",2,"Própria","Poucos recursos","Poucos recursos",3499,12,"Carro","Crédito Ruim"
24,"Feminino",2,"Própria","Sem recursos declarados","Médios recursos",8487,48,"Carro","Crédito Saudável"
29,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",6887,36,"Educação","Crédito Ruim"
27,"Masculino",1,"Própria","Poucos recursos","Sem recursos declarados",2708,15,"Eletroeletrônicos","Crédito Saudável"
47,"Masculino",2,"Cedida","Poucos recursos","Sem recursos declarados",1984,18,"Eletroeletrônicos","Crédito Saudável"
21,"Feminino",2,"Própria","Médios recursos","Sem recursos declarados",10144,60,"radio/TV","Crédito Ruim"
38,"Feminino",2,"Própria","Sem recursos declarados","Sem recursos declarados",1240,12,"radio/TV","Crédito Ruim"
27,"Masculino",2,"Própria","Altíssimos recursos","Sem recursos declarados",8613,27,"Carro","Crédito Saudável"
66,"Masculino",1,"Própria","Altos recursos","Médios recursos",766,12,"radio/TV","Crédito Saudável"
35,"Masculino",2,"Própria","Sem recursos declarados","Médios recursos",2728,15,"radio/TV","Crédito Saudável"
44,"Feminino",1,"Alugada","Poucos recursos","Altíssimos recursos",1881,12,"radio/TV","Crédito Saudável"
27,"Masculino",0,"Própria","Altíssimos recursos","Altíssimos recursos",709,6,"Carro","Crédito Saudável"
30,"Feminino",3,"Própria","Poucos recursos","Médios recursos",4795,36,"radio/TV","Crédito Saudável"
27,"Masculino",3,"Própria","Poucos recursos","Poucos recursos",3416,27,"radio/TV","Crédito Saudável"
22,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",2462,18,"Eletroeletrônicos","Crédito Saudável"
23,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",2288,21,"Eletroeletrônicos","Crédito Saudável"
30,"Masculino",2,"Própria","Médios recursos","Médios recursos",3566,48,"Negócios/Empreender","Crédito Saudável"
39,"Feminino",2,"Própria","Poucos recursos","Poucos recursos",860,6,"Carro","Crédito Saudável"
51,"Feminino",2,"Própria","Médios recursos","Sem recursos declarados",682,12,"Carro","Crédito Saudável"
28,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",5371,36,"Eletroeletrônicos","Crédito Ruim"
46,"Masculino",2,"Própria","Altíssimos recursos","Sem recursos declarados",1582,18,"radio/TV","Crédito Saudável"
42,"Masculino",2,"Cedida","Médios recursos","Sem recursos declarados",1346,6,"radio/TV","Crédito Saudável"
38,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",1924,10,"radio/TV","Crédito Ruim"
24,"Masculino",2,"Própria","Poucos recursos","Altíssimos recursos",5848,36,"radio/TV","Crédito Saudável"
29,"Feminino",2,"Alugada","Altíssimos recursos","Médios recursos",7758,24,"Carro","Crédito Ruim"
36,"Masculino",3,"Alugada","Médios recursos","Médios recursos",6967,24,"Negócios/Empreender","Crédito Saudável"
20,"Feminino",2,"Alugada","Poucos recursos","Poucos recursos",1282,12,"Eletroeletrônicos","Crédito Ruim"
48,"Masculino",2,"Própria","Médios recursos","Poucos recursos",1288,9,"Reparos/Reformas","Crédito Ruim"
45,"Masculino",1,"Própria","Poucos recursos","Poucos recursos",339,12,"Educação","Crédito Saudável"
38,"Masculino",2,"Própria","Médios recursos","Médios recursos",3512,24,"Carro","Crédito Ruim"
34,"Masculino",1,"Própria","Sem recursos declarados","Sem recursos declarados",1898,6,"radio/TV","Crédito Saudável"
36,"Masculino",2,"Própria","Médios recursos","Sem recursos declarados",2872,24,"radio/TV","Crédito Saudável"
30,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",1055,18,"Carro","Crédito Saudável"
36,"Masculino",2,"Própria","Altos recursos","Sem recursos declarados",1262,15,"Utensílios domesticos","Crédito Saudável"
70,"Masculino",3,"Cedida","Poucos recursos","Médios recursos",7308,10,"Carro","Crédito Saudável"
36,"Masculino",2,"Própria","Altos recursos","Sem recursos declarados",909,36,"Carro","Crédito Saudável"
32,"Masculino",2,"Própria","Altos recursos","Sem recursos declarados",2978,6,"Eletroeletrônicos","Crédito Ruim"
33,"Feminino",2,"Própria","Poucos recursos","Poucos recursos",1131,18,"Eletroeletrônicos","Crédito Saudável"
20,"Feminino",2,"Própria","Altíssimos recursos","Médios recursos",1577,11,"Eletroeletrônicos","Crédito Ruim"
25,"Feminino",2,"Alugada","Poucos recursos","Sem recursos declarados",3972,24,"Eletroeletrônicos","Crédito Saudável"
31,"Masculino",2,"Própria","Poucos recursos","Médios recursos",1935,24,"Negócios/Empreender","Crédito Saudável"
33,"Masculino",2,"Alugada","Poucos recursos","Poucos recursos",950,15,"Carro","Crédito Saudável"
26,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",763,12,"Eletroeletrônicos","Crédito Saudável"
34,"Feminino",3,"Própria","Poucos recursos","Médios recursos",2064,24,"Eletroeletrônicos","Crédito Saudável"
33,"Masculino",2,"Própria","Poucos recursos","Médios recursos",1414,8,"radio/TV","Crédito Saudável"
26,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",3414,21,"Educação","Crédito Saudável"
53,"Feminino",3,"Própria","Sem recursos declarados","Sem recursos declarados",7485,30,"Carro","Crédito Saudável"
42,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",2577,12,"Eletroeletrônicos","Crédito Saudável"
52,"Masculino",2,"Própria","Altos recursos","Poucos recursos",338,6,"radio/TV","Crédito Saudável"
31,"Masculino",3,"Alugada","Poucos recursos","Sem recursos declarados",1963,12,"radio/TV","Crédito Saudável"
65,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",571,21,"Carro","Crédito Saudável"
28,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",9572,36,"Negócios/Empreender","Crédito Ruim"
30,"Masculino",3,"Própria","Poucos recursos","Médios recursos",4455,36,"Negócios/Empreender","Crédito Saudável"
40,"Masculino",1,"Própria","Sem recursos declarados","Poucos recursos",1647,21,"Carro","Crédito Ruim"
50,"Masculino",2,"Própria","Altíssimos recursos","Sem recursos declarados",3777,24,"Eletroeletrônicos","Crédito Saudável"
36,"Masculino",2,"Própria","Poucos recursos","Médios recursos",884,18,"Carro","Crédito Saudável"
31,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",1360,15,"radio/TV","Crédito Saudável"
74,"Feminino",3,"Cedida","Poucos recursos","Médios recursos",5129,9,"Carro","Crédito Saudável"
68,"Masculino",0,"Cedida","Poucos recursos","Médios recursos",1175,16,"Carro","Crédito Saudável"
20,"Masculino",2,"Própria","Médios recursos","Poucos recursos",674,12,"radio/TV","Crédito Ruim"
33,"Feminino",2,"Própria","Poucos recursos","Médios recursos",3244,18,"Eletroeletrônicos","Crédito Saudável"
54,"Masculino",3,"Própria","Altíssimos recursos","Sem recursos declarados",4591,24,"Negócios/Empreender","Crédito Saudável"
34,"Masculino",1,"Cedida","Médios recursos","Médios recursos",3844,48,"Negócios/Empreender","Crédito Saudável"
36,"Masculino",2,"Própria","Poucos recursos","Médios recursos",3915,27,"Negócios/Empreender","Crédito Saudável"
29,"Masculino",2,"Alugada","Poucos recursos","Sem recursos declarados",2108,6,"radio/TV","Crédito Ruim"
21,"Masculino",2,"Alugada","Médios recursos","Médios recursos",3031,45,"radio/TV","Crédito Ruim"
34,"Feminino",3,"Própria","Poucos recursos","Médios recursos",1501,9,"Educação","Crédito Saudável"
28,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",1382,6,"radio/TV","Crédito Ruim"
27,"Feminino",2,"Alugada","Médios recursos","Médios recursos",951,12,"Eletroeletrônicos","Crédito Saudável"
36,"Masculino",2,"Cedida","Sem recursos declarados","Médios recursos",2760,24,"Carro","Crédito Saudável"
40,"Masculino",3,"Própria","Poucos recursos","Médios recursos",4297,18,"Eletroeletrônicos","Crédito Ruim"
52,"Masculino",2,"Própria","Altos recursos","Sem recursos declarados",936,9,"Educação","Crédito Saudável"
27,"Masculino",1,"Própria","Poucos recursos","Poucos recursos",1168,12,"Carro","Crédito Saudável"
26,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",5117,27,"Negócios/Empreender","Crédito Saudável"
21,"Masculino",2,"Alugada","Poucos recursos","Poucos recursos",902,12,"Educação","Crédito Ruim"
38,"Masculino",1,"Própria","Poucos recursos","Sem recursos declarados",1495,12,"Carro","Crédito Ruim"
38,"Masculino",3,"Cedida","Poucos recursos","Poucos recursos",10623,30,"Carro","Crédito Ruim"
43,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",1935,12,"Eletroeletrônicos","Crédito Saudável"
26,"Masculino",2,"Própria","Poucos recursos","Médios recursos",1424,12,"Utensílios domesticos","Crédito Saudável"
21,"Masculino",1,"Própria","Poucos recursos","Poucos recursos",6568,24,"Negócios/Empreender","Crédito Ruim"
55,"Masculino",2,"Própria","Altíssimos recursos","Sem recursos declarados",1413,12,"Carro","Crédito Saudável"
33,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",3074,9,"radio/TV","Crédito Saudável"
45,"Feminino",1,"Própria","Sem recursos declarados","Sem recursos declarados",3835,36,"radio/TV","Crédito Saudável"
50,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",5293,27,"Negócios/Empreender","Crédito Saudável"
66,"Masculino",3,"Própria","Poucos recursos","Altíssimos recursos",1908,30,"Negócios/Empreender","Crédito Saudável"
51,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",3342,36,"radio/TV","Crédito Saudável"
39,"Feminino",1,"Própria","Sem recursos declarados","Médios recursos",932,6,"Educação","Crédito Saudável"
31,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",3104,18,"Negócios/Empreender","Crédito Saudável"
23,"Masculino",2,"Própria","Poucos recursos","Altíssimos recursos",3913,36,"radio/TV","Crédito Saudável"
24,"Masculino",1,"Alugada","Poucos recursos","Poucos recursos",3021,24,"Eletroeletrônicos","Crédito Saudável"
64,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",1364,10,"Carro","Crédito Saudável"
26,"Masculino",1,"Própria","Poucos recursos","Médios recursos",625,12,"radio/TV","Crédito Saudável"
23,"Feminino",2,"Alugada","Sem recursos declarados","Poucos recursos",1200,12,"Educação","Crédito Saudável"
30,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",707,12,"radio/TV","Crédito Saudável"
32,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",2978,24,"Negócios/Empreender","Crédito Ruim"
30,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",4657,15,"Carro","Crédito Saudável"
27,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",2613,36,"Reparos/Reformas","Crédito Saudável"
27,"Masculino",2,"Própria","Altíssimos recursos","Médios recursos",10961,48,"radio/TV","Crédito Saudável"
53,"Masculino",3,"Cedida","Poucos recursos","Poucos recursos",7865,12,"Eletroeletrônicos","Crédito Saudável"
22,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",1478,9,"radio/TV","Crédito Saudável"
22,"Masculino",2,"Cedida","Poucos recursos","Poucos recursos",3149,24,"Eletroeletrônicos","Crédito Saudável"
26,"Masculino",2,"Própria","Poucos recursos","Altíssimos recursos",4210,36,"radio/TV","Crédito Saudável"
51,"Masculino",1,"Cedida","Altos recursos","Sem recursos declarados",2507,9,"Carro","Crédito Saudável"
35,"Masculino",2,"Própria","Médios recursos","Sem recursos declarados",2141,12,"radio/TV","Crédito Saudável"
25,"Masculino",1,"Própria","Poucos recursos","Médios recursos",866,18,"radio/TV","Crédito Saudável"
42,"Masculino",1,"Própria","Poucos recursos","Sem recursos declarados",1544,4,"radio/TV","Crédito Saudável"
30,"Masculino",3,"Própria","Poucos recursos","Poucos recursos",1823,24,"radio/TV","Crédito Saudável"
23,"Masculino",0,"Própria","Sem recursos declarados","Médios recursos",14555,6,"Carro","Crédito Saudável"
61,"Masculino",1,"Alugada","Médios recursos","Médios recursos",2767,21,"Negócios/Empreender","Crédito Saudável"
35,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",1291,12,"radio/TV","Crédito Saudável"
39,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",2522,30,"radio/TV","Crédito Saudável"
29,"Feminino",2,"Própria","Sem recursos declarados","Poucos recursos",915,24,"Carro","Crédito Ruim"
51,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",1595,6,"radio/TV","Crédito Saudável"
24,"Masculino",2,"Cedida","Poucos recursos","Poucos recursos",4605,48,"Carro","Crédito Saudável"
27,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",1185,12,"Negócios/Empreender","Crédito Saudável"
35,"Feminino",1,"Própria","Altos recursos","Sem recursos declarados",3447,12,"Educação","Crédito Saudável"
25,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",1258,24,"Negócios/Empreender","Crédito Saudável"
52,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",717,12,"radio/TV","Crédito Saudável"
35,"Masculino",2,"Alugada","Médios recursos","Sem recursos declarados",1204,6,"Carro","Crédito Saudável"
26,"Masculino",2,"Própria","Poucos recursos","Altíssimos recursos",1925,24,"Eletroeletrônicos","Crédito Saudável"
22,"Feminino",2,"Alugada","Poucos recursos","Sem recursos declarados",433,18,"radio/TV","Crédito Saudável"
39,"Feminino",1,"Própria","Altíssimos recursos","Poucos recursos",666,6,"Carro","Crédito Saudável"
46,"Feminino",1,"Própria","Poucos recursos","Altíssimos recursos",2251,12,"Eletroeletrônicos","Crédito Saudável"
24,"Feminino",2,"Própria","Poucos recursos","Médios recursos",2150,30,"Carro","Crédito Saudável"
35,"Masculino",2,"Própria","Médios recursos","Sem recursos declarados",4151,24,"Eletroeletrônicos","Crédito Saudável"
